Es,CA,Ds,Ms,E1,C1,D1,M1,V1,E2,C2,SBET,PS,PV,Oα,Oβ,m,T(℃),t(min),CHg,GHSV,HCl,SO2,O2,H2O,NO,NH3,RHg
1.54,11.48,147,47.867,1.55,5.93,127 ,54.938 ,3.56 ,1.66,5.55 ,52.66 ,14.270 ,0.188 ,76.98,23.02,0.3,120,10,55,3820.8,0,0,0.06,0,0,0,98.15 
1.54,11.48,147,47.867,1.55,5.93,127 ,54.938 ,3.56 ,1.66,5.55 ,52.66 ,14.270 ,0.188 ,76.98,23.02,0.3,120,20,55,3820.8,0,0,0.06,0,0,0,98.56 
1.54,11.48,147,47.867,1.55,5.93,127 ,54.938 ,3.56 ,1.66,5.55 ,52.66 ,14.270 ,0.188 ,76.98,23.02,0.3,120,30,55,3820.8,0,0.0006,0.06,0,0,0,98.25 
1.54,11.48,147,47.867,1.55,5.93,127 ,54.938 ,3.56 ,1.66,5.55 ,52.66 ,14.270 ,0.188 ,76.98,23.02,0.3,120,40,55,3820.8,0,0.0006,0.06,0,0,0,98.35 
1.54,11.48,147,47.867,1.55,5.93,127 ,54.938 ,3.56 ,1.66,5.55 ,52.66 ,14.270 ,0.188 ,76.98,23.02,0.3,120,50,55,3820.8,0,0.0006,0.06,0,0,0,98.05 
1.54,11.48,147,47.867,1.55,5.93,127 ,54.938 ,3.56 ,1.66,5.55 ,52.66 ,14.270 ,0.188 ,76.98,23.02,0.3,120,60,55,3820.8,0,0.0006,0.06,0,0,0,97.22 
1.54,11.48,147,47.867,1.55,5.93,127 ,54.938 ,3.56 ,1.66,5.55 ,52.66 ,14.270 ,0.188 ,76.98,23.02,0.3,120,70,55,3820.8,0,0.0006,0.06,0,0,0,95.78 
1.54,11.48,147,47.867,1.55,5.93,127 ,54.938 ,3.56 ,1.66,5.55 ,52.66 ,14.270 ,0.188 ,76.98,23.02,0.3,120,80,55,3820.8,0,0.0006,0.06,0,0,0,95.16 
1.54,11.48,147,47.867,1.55,5.93,127 ,54.938 ,3.56 ,1.66,5.55 ,52.66 ,14.270 ,0.188 ,76.98,23.02,0.3,120,90,55,3820.8,0,0.0006,0.06,0,0,0,94.55 
1.54,11.48,147,47.867,1.55,5.93,127 ,54.938 ,3.56 ,1.66,5.55 ,52.66 ,14.270 ,0.188 ,76.98,23.02,0.3,120,100,55,3820.8,0,0.0006,0.06,0,0,0,95.37 
1.54,11.48,147,47.867,1.55,5.93,127 ,54.938 ,3.56 ,1.66,5.55 ,52.66 ,14.270 ,0.188 ,76.98,23.02,0.3,120,110,55,3820.8,0,0.0006,0.06,0,0,0,95.37 
1.54,11.48,147,47.867,1.55,5.93,127 ,54.938 ,3.56 ,1.66,5.55 ,52.66 ,14.270 ,0.188 ,76.98,23.02,0.3,120,120,55,3820.8,0,0.0006,0.06,0,0,0,95.27 
1.54,11.48,147,47.867,1.55,5.93,127 ,54.938 ,3.56 ,1.66,5.55 ,52.66 ,14.270 ,0.188 ,76.98,23.02,0.3,100,10,55,3820.8,0,0,0.06,0,0,0,97.31 
1.54,11.48,147,47.867,1.55,5.93,127 ,54.938 ,3.56 ,1.66,5.55 ,52.66 ,14.270 ,0.188 ,76.98,23.02,0.3,100,20,55,3820.8,0,0,0.06,0,0,0,97.74 
1.54,11.48,147,47.867,1.55,5.93,127 ,54.938 ,3.56 ,1.66,5.55 ,52.66 ,14.270 ,0.188 ,76.98,23.02,0.3,100,30,55,3820.8,0,0.0006,0.06,0,0,0,98.57 
